word,count
said,3996
dalinar,2825
one,1994
kaladin,1702
like,1699
shallan,1341
could,1287
back,1218
would,1173
adolin,1067
hand,869
man,864
men,815
time,803
people,791
city,790
know,783
something,760
toward,743
storm,739
